,headline,no_stopwords_entities,stopwords_entities
13983,know college actually place learn deans make lots money,"[college, place, deans, lots]","[you, you, deans]"
13984,asked wrong question racism answer oh right,[],"[he, answer]"
13985,everyone different treat differently yes read right,[everyone],"[everyone, t, you]"
13986,late night rant turned infographic best things say different,"[rant, things]",[rant]
13987,reality check charts even begin cover really,[charts],"[reality, t, you]"
13988,charts bad explaining person oddly enough explained perfectly charts,[],"[charts, person]"
13989,year old discusses going marry gives way better answer many year olds,[discusses],"[discusses, she]"
13990,infographic points bathroom symbols friggin silly much,"[points, friggin]","[that, symbols]"
13991,pretty hair sparkly unicorns football finally chart get behind,"[football, chart]",[we]
13992,year old discusses going marry gives way better answer many year olds,[discusses],"[discusses, she]"
13993,year old discusses going marry gives way better answer many year olds,[discusses],"[discusses, she]"
13994,year old discusses going marry gives way better answer many year olds,[discusses],"[discusses, she]"
13995,year old discusses going marry gives way better answer many year olds,[discusses],"[discusses, she]"
13996,meet man one worst moral compasses america,[],[]
13997,meet man one worst moral compasses america,[],[]
13998,meet man one worst moral compasses america,[],[]
13999,meet man one worst moral compasses america,[],[]
14000,meet man one worst moral compasses america,[],[]
14001,john oliver would like meet man one worst moral compasses america,[oliver],"[oliver, you]"
14002,asked wrong question racism answer oh right,[],"[he, answer]"
14003,year old girl already got colleges chasing thanks unexpected hobby,"[girl, colleges]","[girl, colleges]"
14004,year old girl already got colleges interested thanks unexpected hobby,[girl],[girl]
14005,year old girl already got colleges knocking door thanks unexpected hobby,[girl],[girl]
14006,year old girl already got colleges asking thanks unexpected hobby,[girl],[girl]
14007,year old girl already caught attention colleges thanks unexpected hobby,[girl],[]
14008,year old girl already got colleges considering thanks unexpected hobby,[girl],[girl]
14009,episode orange new black real criminals want us see,"[criminals, us]","[episode, criminals, us]"
14010,asked wrong question racism answer oh right,[],"[he, answer]"
14011,boy meets girl girl reveals intimate secret story gets interesting,"[boy, girl, story]","[boy, girl, that, story]"
14012,boy meets girl girl reveals intimate secret story gets interesting,"[boy, girl, story]","[boy, girl, that, story]"
14013,boy meets girl girl reveals intimate secret story gets interesting,"[boy, girl, story]","[boy, girl, that, story]"
14014,boy meets girl girl reveals intimate secret story gets interesting,"[boy, girl, story]","[boy, girl, that, story]"
14015,episode orange new black real criminals want us see,"[criminals, us]","[episode, criminals, us]"
14016,episode orange new black real criminals want us see,"[criminals, us]","[episode, criminals, us]"
14017,episode orange new black real criminals want us see,"[criminals, us]","[episode, criminals, us]"
14018,episode orange new black real criminals want us see,"[criminals, us]","[episode, criminals, us]"
14019,episode orange new black real criminals want us see,"[criminals, us]","[episode, criminals, us]"
14020,happens dude bros catch women kissing party hearts melt,[],"[what, women, hearts]"
14021,happens dude bros catch women kissing party hearts melt,[],"[what, women, hearts]"
