,headline,excerpt,share_text
115,man groped walking street angry,,
116,finally something makes sense coming ferguson mouths children,Things that matter. Pass 'em on.,
117,old records spray paint became foundation movement changed world,Things that matter. Pass 'em on.,
118,never occurred could explain economic inequality air travel guy,,
119,david suzuki blasts canadian mounties arrest grandson,,
120,cops thought black teen rocket launcher neil taught lesson,,This guy. That is all.
121,doctor asks question time ever answer,,
122,may find things gross wait til see,,I had no idea mushrooms could do all these things. Did you?
123,poverty yes kids running amok yes healthy fresh vegetables actually yes,,
124,allow fuzzy pink puppet tell story trek across abortion desert,,Coming soon to a theater near you...unless you live in certain states. 
125,mother daughter movement literally inspires pants people,,"They're not fetishizing bodies, they're celebrating who we are in our own skin. "
126,feeling make every minute day amazing,,"If everyone who reads this did one of these things, we'd make a dent in everything that is wrong."
127,talking money hard owing money harder hardest anyway,,"Let it gooo, let it goooo!"
128,industry highest rates sexual harassment lot young women work,,
129,truth ferguson case people acknowledge,Some things we've learned about the Ferguson case that you might not know.,
130,truth ferguson case people acknowledge,Some things we've learned about the Ferguson case that you might not know.,"In 2010, 162,000 cases went to a grand jury to seek an indictment. Only 6 were declined. This was more than gross incompetence. He deserved a day in actual court."
131,little girl disease totally manageable bad lives wrong country,"Things that matter, pass 'em on. ",
132,first statistic shocking second sickening makes story striking,,
133,next time dismiss chores something important remember,,
134,walked classroom saw something terrible took seat anyway stood back,,
135,depression teens looks almost nothing like depression adults,,It can be hard to tell a depressed teen and normal teen apart. Here's what you need to know.
136,father wrote kid things always remember forget every day,,"""Things I’ll Teach My First Kid Or, 14 Reasons Why I Suck"" By Evan Porter."
137,white straight man super terrible helping rest us,,
138,looks like swimming around zoom breath leaves body forever,,The sweetest thing.
139,china iran iraq saudi arabia north korea usa,This is not a list we should aspire to be on.,
140,china iran iraq saudi arabia north korea usa,This is not a list we should aspire to be on.,
141,china iran iraq saudi arabia north korea usa,This is not a list we should aspire to be on.,
142,china iran iraq saudi arabia north korea usa,This is not a list we should aspire to be on.,
143,babies learn quickly smartphones really make smarter,,
144,baby social media account might want wait use,,
145,every prisoners world country wish could say surprised,,
146,cop stops black man walking hands pockets interesting conversation ensues,"""Wow. Walking by having your hands in your pockets makes people nervous and call the police when it's snowing outside?""",A black guy and a cop film each other. Well played.
147,long hair bet sick strangers telling toddler,,Have you ever donated your hair? Thought about it?
148,turns kid using ipad android good idea,Purely awesome things that matter. Pass 'em on. ,"Sure, they’re super cute, but should they really be using smartphones?"
149,really intense reasons babies looking ipads,Purely awesome things that matter. Pass 'em on. ,"Sure, they’re super cute, but should they really be using smartphones?"
150,wondering talk black people white people things keep mind,,5 ways not to sound like a complete idiot when you're only trying to help.
151,thought living jeep bad saw k student loan debt,"If you’d rather hide under the covers than think about this, you’re not alone.",Think ignoring them will make them go away? 
152,put guys room made argue passive aggressively seconds,,Check out a guy in a red jacket get hilarious about a subject that isn't usually funny. At all.
153,sorry toymakers mass producing warped body image got paintbrush knows use,,
154,maybe everyone barbie like everyone see barbie,,
155,put guys room made argue passive aggressively seconds,The guy in the red jacket is hilarious. He's also being really smart about money and stuff. #PromotedPost,Watch a know-it-all in a suit waste his time pretending to be smart.
156,put guys room made argue passive aggressively seconds,"His ""Wolf of Wall Street"" reference is totally on point, and that jacket ain't too shabby, either. #PromotedPost",Watch a know-it-all in a suit waste his time pretending to be smart.
157,years ago doctor published study completely made made us sicker,Here's the deadly results when people say things about science without actually looking at science.,The mind reels.
158,years ago doctor published study lots people swear problem fake,,
159,years ago doctor published study completely made made us sicker,,"It took studying 25,782,500 kids to begin to undo the damage he did."
160,years ago doctor published study completely made made us sicker,,The pain he caused is just staggering.
161,never forget dream speech kids go history,#PromotedPost,Will these electrifying speeches go down in the history books? I sure hope so.
162,every flash mob guts woah,,I'm speechless.
163,every flash mob guts woah,,I'm speechless.
164,let rape survivor tell story took steps backward,Those who are quick to call her a liar should be the ones reading this.,"Rolling Stone, you did such a great thing. At first. "
165,let rape survivor tell story took steps backward,Those who are quick to call her a liar should be the ones reading this.,"Before you judge, read. "
166,easily avoid every new parent worst nightmare,Awesome stories that matter. Pass 'em on to your friends. ,
167,football player hit wife video america saw america telling,,
168,football player hit wife video america saw america telling,,Ray Rice hurt her. The rest of us should take care not hurt her more.
169,football player hit wife video america saw america telling,,"Ray Rice hurt her. Here's how we're hurting her now, too."
170,meet people actually want go prison shocked,,
171,th biggest illegal industry world years destroy,,
172,football player hit wife video america saw america telling,,We should let her have the final word.
173,freak map infectious diseases world good stuff know,,
174,trendy jewelry grandfather life work wait,Things that matter. Pass 'em on. ,
175,girl skipped school good reason definitely seen numbers,Things that matter. Pass 'em on. ,
176,threatened called traitor doctor,,
177,give girl book strange wonderful things start happen watch,Things that matter. Pass 'em on. ,
178,little reminder white folks see facebook talking race cops,,
179,numbers tell us girl lucky enough go school skipping class,Things that matter. Pass 'em on. ,
180,asked bullying gave exactly answer deserved,Things that matter. Pass 'em on.,"After of a lifetime of nerdery, here's his advice to bullied kids that all the parents will steal."
181,girl asks tv star adorable question growing answer sweet perfect,,
182,people say riots show,,SPOILER ALERT: A movie you've definitely heard about used in a genius way
183,many girls around world better life could easy abc literally,Things that matter. Pass 'em on. ,
184,nothing funny ferguson parody makes hard laugh,Awesome stories that matter. Pass ‘em on to your friends. ,
185,something alive moving half water oceans,,
186,typical inspiration porn story man disability reality,,
187,went white house summit student travel liked heard,,
188,imagine someone asking way watch person answer perfectly,,I've never heard such a good cloud metaphor.
